steering,left_speed,right_speed
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,-10,-10
0,-10,-10
0,-10,-10
0,-10,-10
0,-10,-10
0,-10,-10
0,-10,-10
0,-20,-20
0,-20,-20
0,-20,-20
0,-20,-20
0,-20,-20
0,-20,-20
0,-20,-20
0,-20,-20
0,-30,-30
0,-30,-30
0,-30,-30
0,-30,-30
0,-30,-30
0,-30,-30
0,-30,-30
1,-30,-30
1,-30,-30
1,-30,-30
1,-30,-30
1,-30,-30
1,-30,-30
1,-30,-30
1,-30,-30
1,-30,-30
1,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-50,-50
2,-50,-50
3,-50,-50
3,-50,-50
3,-50,-50
3,-50,-50
3,-50,-50
3,-50,-50
3,-50,-50
3,-50,-50
3,-50,-50
3,-50,-50
3,-60,-60
3,-60,-60
3,-60,-60
3,-60,-60
4,-60,-60
4,-60,-60
